name,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
Cementiri Les Corts,426561.3118843181,4581665.960117499,41.383168531331165,2.1216835608063085
Cementiri Sarrià,427076.6264465534,4583641.375956496,41.401007141442,2.1276081162893665
Cementiri Poblenou,433218.0609304898,4582870.018749292,41.39459329629176,2.201156811755032
Col·legi de Censors Jurats de Comptes de Catalunya,425825.98485391407,4582477.495038081,41.39041020339857,2.11279079824562
Biblioteca Jaume Fuster,428936.65922686737,4584342.780512195,41.40749096939712,2.149775202551298
Torre Jussana - Centre de Serveis a les Associacions,429089.4952233808,4586806.246531563,41.42969190027591,2.15131477992075
Acàdemia Blancafort - Antiga Editorial Seguí,429857.6554839746,4583366.807222827,41.39878162390739,2.1609062506181
Can Pardal,429467.46217966994,4583823.28268945,41.40285879796171,2.156185776031604
Edifici d'habitatges Gran de Gràcia 74*76,429397.5099236874,4583516.235669557,41.40008719962975,2.1553848011746144
Eix Comercial del Raval,430922.1125977394,4581142.120149389,41.37883670716191,2.173892474795089
Escola d'Aprenents SEAT,428306.18460516894,4578458.051814081,41.35443340782173,2.142929012130741
Mercat Concepció,430536.809959866,4583003.473907231,41.39556815947775,2.169071648271845
Mercat Sant Antoni,429906.97744922026,4581233.086052541,41.37956821941282,2.161743115837759
Mercat Les Corts,427241.3792526469,4581760.084345993,41.38407806063042,2.1298048647400445
Mercat Galvany,428415.25654576975,4583147.844056434,41.39668239144885,2.143678943368952
Espai Bombers Parc de la Prevenció de Barcelona,429300.4944818224,4580586.98623315,41.37369595375426,2.154566177208794
Mooby Bosque Multicines,429092.7418535916,4583664.663158111,41.40139721074222,2.151721868976122
Masia Can Fargas,430186.20662853867,4586563.718122879,41.42760361480803,2.164467317118893
Carrer Gran de Sant Andreu,432318.4307445221,4587489.625534711,41.43612543255933,2.189879647556801
Foment Republicà de Sants. Antic Ateneu Batllori,427921.5718603092,4580733.150515028,41.37489008455714,2.1380612359989244
Gran Teatre del Liceu,430877.86499799887,4581287.9967164975,41.38014677441643,2.1733467293401083
Telefèric de Montjuïc,430004.881745107,4580042.173698919,41.36885056534847,2.1630513619866973
El passeig de Sant Joan,430499.0432128355,4583555.654513255,41.40053820160704,2.168556539279617
La plaça de la Vila de Gràcia,429576.7531756841,4583547.033406543,41.40038030274788,2.1575252768954654
El Congrés i els Indians,431489.9580866891,4586003.955844527,41.42267428633185,2.1801325133211784
El Quadrat d'Or,430308.9372611775,4582583.8589540655,41.39176911227801,2.166394367405672
El 22@,432747.9673344796,4583693.148626897,41.40196782553371,2.1954426698372225
L'Estació de La Sagrera,432094.6362338901,4585914.960833819,41.42192407346947,2.187378057190909
Plaça del Nen de la Rutlla,430772.2271415005,4585583.449797072,41.4188254176045,2.1715923368510053
La Muralla Romana,431236.4804168577,4581749.719283336,41.384336103363474,2.1775827025795835
Casa Granell *Girona,430455.8667065314,4583196.645006214,41.39730099114916,2.1680813060601696
Casa Casas-Carbó,429892.036226323,4583000.016807893,41.395481069803886,2.1613599645166035
Casa Antoni Costa,429625.05082766496,4582967.250072084,41.39516263147227,2.15817039068309
Casa Comas d' Argemir,428613.47228782414,4584712.353840556,41.4107909301786,2.145865303185273
Plaça de la Virreina,429574.6470864193,4584071.415291897,41.40510303249848,2.1574390767796707
Plaça del Nord,429409.9566424043,4584280.754216146,41.40697402455321,2.1554445283158845
